client_id,product_1,product_2,product_3,product_4,product_5,age,annual_income,previous_purchases
1001,0,1,0,0,1,34,34425,7
1002,0,0,0,1,1,31,75036,3
1003,1,0,0,0,1,61,30210,6
1004,1,0,1,1,1,61,56941,9
1005,1,1,0,1,1,39,91914,2
1006,0,0,0,1,0,19,67610,2
1007,0,0,1,0,0,62,32175,1
1008,0,0,1,0,0,56,64671,7
1009,1,1,1,1,0,63,67521,1
1010,0,0,0,0,1,28,87618,6
1011,0,0,0,1,0,56,53549,8
1012,1,0,1,0,1,47,28372,4
1013,1,1,0,0,1,40,81913,3
1014,0,1,0,1,1,55,37089,4
1015,1,1,1,0,0,36,26816,8
1016,0,0,0,0,1,32,26638,4
1017,1,1,0,0,0,56,34429,7
1018,1,1,1,0,1,54,29468,4
1019,0,1,0,1,1,31,86653,7
1020,0,1,0,1,1,58,89749,4
1021,1,1,0,0,0,30,40155,6
1022,0,0,1,1,1,69,94282,3
1023,1,1,1,0,0,41,98798,2
1024,0,0,1,0,0,59,77364,7
1025,0,1,0,1,1,57,36830,2
1026,0,1,1,0,1,32,79178,1
1027,0,0,1,1,1,62,55214,6
1028,1,1,0,0,0,29,63634,8
1029,1,0,0,0,0,55,70840,9
1030,1,1,1,0,1,65,98559,2
1031,1,1,1,1,1,28,89060,1
1032,0,0,0,1,0,51,73756,6
1033,1,0,1,0,1,63,77116,5
1034,0,0,0,1,1,58,42499,9
1035,0,1,1,1,1,51,73799,2
1036,1,1,0,0,1,66,30602,3
1037,0,0,0,0,0,18,87870,8
1038,1,1,0,1,1,55,44865,1
1039,0,1,1,0,1,49,85962,5
1040,1,1,1,0,0,39,81633,4
1041,0,0,1,0,1,58,67669,7
1042,1,1,0,1,1,28,63993,1
1043,1,0,1,0,1,47,94874,7
1044,1,0,0,1,1,36,82215,3
1045,0,0,1,0,1,64,94133,6
1046,0,1,0,0,1,34,75947,1
1047,1,0,1,0,0,68,67165,6
1048,0,0,1,1,0,35,79643,7
1049,0,1,0,1,0,22,78547,2
1050,0,1,1,0,0,54,66520,0
1051,1,0,0,0,1,22,21370,0
1052,0,0,0,1,1,51,27798,0
1053,0,0,1,1,1,46,89008,4
1054,0,1,0,1,1,44,98252,9
1055,0,0,1,1,0,68,38732,8
1056,1,1,1,0,0,29,74681,2
1057,0,0,0,1,0,26,81315,0
1058,1,0,1,0,1,36,81802,8
1059,1,1,1,1,0,46,65782,4
1060,0,1,1,0,0,54,83871,9
1061,0,0,0,1,0,41,97089,7
1062,1,0,0,0,1,62,94440,6
1063,0,0,0,1,0,54,22537,5
1064,0,1,1,0,0,68,40259,7
1065,1,0,1,0,0,29,33351,8
1066,1,1,1,0,0,41,34273,1
1067,0,1,0,0,1,59,68314,4
1068,0,0,1,0,0,62,59289,5
1069,1,1,0,0,0,58,79564,8
1070,0,1,1,0,0,26,62285,8
1071,0,0,0,0,0,65,85941,6
1072,1,1,0,0,0,38,66183,4
1073,1,0,1,0,1,52,69390,2
1074,0,1,0,1,1,21,78008,1
1075,0,1,0,0,1,68,99798,1
1076,0,0,1,1,0,29,98404,1
1077,0,1,0,0,0,31,52533,3
1078,1,1,0,1,0,65,80492,5
1079,0,1,0,0,0,58,33873,2
1080,1,0,0,0,0,40,74686,0
1081,1,1,1,0,1,31,96716,6
1082,0,0,0,1,1,50,60646,9
1083,1,0,1,0,0,27,30074,1
1084,1,0,0,1,0,39,91375,6
1085,1,1,0,1,0,30,67866,7
1086,1,1,0,0,0,30,29461,9
1087,1,1,1,0,0,18,42106,0
1088,1,1,0,1,0,57,38727,9
1089,0,0,1,0,1,53,38211,4
1090,1,1,0,0,1,60,81425,8
1091,1,1,1,1,1,29,76869,0
1092,1,0,1,1,1,39,71672,5
1093,0,0,1,0,1,33,65366,6
1094,1,0,0,0,1,55,66150,9
1095,1,1,0,0,0,28,80147,5
1096,1,1,1,1,0,35,56057,2
1097,1,1,1,1,1,44,65894,7
1098,0,0,0,1,1,60,84011,9
1099,0,0,1,0,1,61,54134,8
1100,1,0,0,0,1,35,40384,8
1101,0,0,1,1,0,27,57244,6
1102,0,1,0,1,1,18,52717,4
1103,0,0,1,0,0,68,88477,8
1104,0,0,0,0,1,68,59714,5
1105,1,0,1,0,1,46,65579,0
1106,0,1,0,0,0,38,64367,7
1107,0,1,1,0,1,43,52246,5
1108,0,0,0,0,1,49,73498,5
1109,1,0,1,1,1,62,54426,8
1110,1,0,1,0,1,55,63592,4
1111,0,0,0,0,0,22,35873,6
1112,1,1,0,0,0,62,85585,6
1113,0,0,0,1,0,55,28901,0
1114,0,0,1,1,0,57,25230,2
1115,0,1,1,1,1,67,21952,6
1116,0,1,0,1,0,22,47566,6
1117,1,1,0,1,1,67,49876,3
1118,1,0,1,0,1,31,50060,6
1119,0,0,0,1,1,24,27332,3
1120,1,1,0,1,1,25,89689,0
1121,0,1,1,0,0,51,57702,2
1122,0,0,0,1,0,51,49252,9
1123,0,1,0,1,0,26,62650,9
1124,0,0,1,0,0,38,96243,7
1125,1,0,0,1,0,26,20200,5
1126,0,1,1,0,1,25,76896,1
1127,1,1,1,0,1,20,92281,3
1128,1,0,1,1,0,55,44470,7
1129,0,0,0,1,0,32,53264,0
1130,0,1,0,1,0,54,31865,8
1131,1,1,1,0,1,30,53803,5
1132,1,1,1,0,0,52,97065,4
1133,0,0,0,0,1,21,61766,3
1134,1,1,1,1,1,58,67896,7
1135,0,0,1,1,1,42,66773,2
1136,0,1,0,0,0,23,76089,1
1137,0,0,0,1,0,43,24512,3
1138,1,0,0,1,0,42,40161,0
1139,0,1,0,0,1,23,61026,7
1140,1,0,0,1,0,67,44535,4
1141,0,1,0,0,1,50,60482,3
1142,0,0,0,0,1,53,97209,2
1143,0,1,0,0,1,47,31648,5
1144,1,0,1,0,1,30,74338,2
1145,1,0,1,1,0,36,29454,3
1146,1,0,0,1,0,46,95164,0
1147,1,1,0,1,0,25,33447,8
1148,1,0,1,0,1,63,73181,5
1149,1,0,1,1,1,63,83996,1
1150,1,1,1,1,1,26,45802,4
1151,1,0,1,0,1,24,60481,1
1152,0,1,0,1,0,23,69469,8
1153,1,1,0,0,1,58,58571,4
1154,1,0,0,1,1,53,52089,4
1155,1,0,0,1,1,34,22976,1
1156,0,0,1,1,1,25,72128,7
1157,1,0,1,0,1,67,85117,2
1158,0,1,0,0,1,48,88365,2
1159,0,1,0,1,0,27,32735,4
1160,1,0,1,0,0,24,63848,8
1161,1,1,1,0,0,68,32357,2
1162,0,1,0,1,1,50,27174,6
1163,0,1,0,1,1,47,44996,1
1164,0,0,0,1,1,55,73576,0
1165,0,1,1,0,1,18,43936,4
1166,0,0,0,0,1,63,93074,6
1167,1,1,1,0,1,40,99598,2
1168,0,0,1,0,1,30,85439,2
1169,1,0,1,1,0,51,27958,8
1170,1,1,0,0,1,54,54686,5
1171,1,1,1,0,0,41,95766,0
1172,0,0,0,1,1,42,65230,5
1173,0,1,1,1,0,30,55355,4
1174,0,1,0,1,1,63,23783,4
1175,0,1,1,1,0,60,59161,7
1176,1,1,0,0,1,30,32821,6
1177,1,0,0,1,0,32,64465,0
1178,0,0,1,0,0,39,45414,0
1179,0,0,0,0,0,65,71508,9
1180,0,1,1,1,0,30,20501,2
1181,0,0,1,0,0,57,91950,1
1182,1,0,0,1,0,62,65606,5
1183,0,1,0,0,0,47,31543,5
1184,1,1,1,1,1,22,62065,9
1185,1,0,0,1,0,24,30333,9
1186,0,0,1,1,1,42,33575,3
1187,1,0,1,1,0,58,97616,0
1188,1,0,1,0,1,29,55177,5
1189,0,0,1,1,0,18,90962,3
1190,0,0,0,0,0,36,68058,4
1191,1,1,0,0,0,22,94460,8
1192,0,1,1,0,1,60,67979,8
1193,0,0,1,0,1,52,73399,6
1194,1,1,0,0,0,56,92917,3
1195,1,0,1,1,1,63,21157,0
1196,0,0,1,1,1,52,94625,4
1197,0,0,1,1,1,59,57955,7
1198,0,0,1,1,0,39,90356,3
1199,0,1,0,1,0,66,26742,5
1200,1,0,1,0,0,59,76103,6
1201,1,0,1,0,1,44,70889,2
1202,1,1,0,1,0,35,32604,7
1203,1,0,1,0,1,48,22072,2
1204,0,1,0,0,0,61,98452,9
1205,1,1,0,0,0,47,92314,9
1206,0,1,0,1,0,29,21296,2
1207,0,0,1,0,0,27,84373,4
1208,0,0,1,1,1,60,90370,7
1209,0,1,1,0,0,47,86693,4
1210,0,0,0,1,0,46,73826,4
1211,0,0,1,0,0,20,63676,6
1212,0,0,1,0,0,40,93774,2
1213,1,0,0,0,0,55,95932,6
1214,0,1,0,1,0,58,67817,9
1215,0,0,1,0,1,61,99019,5
1216,0,1,0,0,0,69,84143,0
1217,0,1,1,1,0,24,29542,4
1218,1,0,0,0,0,64,57655,1
1219,0,0,1,0,1,55,84869,6
1220,1,0,1,1,1,62,65051,2
1221,1,1,0,1,0,68,80117,2
1222,0,0,0,0,1,59,71728,4
1223,1,1,1,0,1,53,99336,2
1224,0,0,0,0,0,46,66425,1
1225,0,1,1,0,1,27,41203,2
1226,0,1,1,0,1,43,64388,1
1227,1,0,1,1,0,48,66971,4
1228,1,0,1,1,1,48,78138,6
1229,0,0,1,1,0,22,58977,7
1230,1,1,0,0,1,55,20399,4
1231,0,1,1,1,1,67,20240,2
1232,1,0,1,1,0,22,57678,4
1233,1,1,1,0,1,49,41354,7
1234,0,0,1,1,0,28,47267,2
1235,1,0,1,1,0,65,46195,0
1236,0,1,1,1,0,31,63684,8
1237,1,1,0,1,1,49,73176,4
1238,1,1,1,1,1,52,61094,1
1239,0,1,1,0,0,58,53690,8
1240,0,1,1,0,1,46,50372,2
1241,0,0,1,1,1,64,78597,3
1242,1,1,1,0,0,57,83951,5
1243,0,0,0,0,1,23,75340,1
1244,1,0,0,0,0,43,28249,3
1245,1,0,0,1,0,47,87909,1
1246,1,1,0,1,0,32,23037,2
1247,1,0,1,0,0,27,20417,1
1248,1,1,1,0,0,27,48159,5
1249,0,1,0,0,1,36,45929,9
1250,0,0,0,1,1,33,86369,1
1251,1,0,0,1,1,36,79083,2
1252,1,1,1,1,0,57,49036,3
1253,1,1,0,0,0,22,31616,1
1254,0,1,1,1,1,66,27691,0
1255,1,1,1,1,0,62,42227,9
1256,1,1,1,0,1,22,67494,6
1257,1,0,0,0,0,69,95013,5
1258,0,0,1,0,0,19,26910,0
1259,0,0,1,1,0,57,41855,1
1260,1,0,1,0,0,59,54267,0
1261,0,1,1,1,1,20,75525,5
1262,0,0,1,1,0,64,99328,3
1263,0,0,1,0,0,66,66077,8
1264,0,1,1,1,0,44,64523,3
1265,0,0,0,0,1,61,88594,7
1266,0,1,1,0,0,52,28904,9
1267,1,1,1,0,0,40,87402,1
1268,1,1,0,1,0,59,99292,6
1269,0,0,1,0,1,40,88781,3
1270,0,0,0,1,1,58,21921,8
1271,1,1,1,1,1,44,90491,1
1272,1,1,0,0,0,66,60423,4
1273,0,1,0,1,1,48,72585,5
1274,0,0,1,0,0,34,33659,2
1275,0,1,1,0,1,31,54491,9
1276,0,1,1,0,0,23,72085,7
1277,0,0,0,0,1,55,24151,6
1278,0,1,1,0,0,28,52796,3
1279,0,0,0,1,1,59,94332,4
1280,0,1,1,1,0,69,87681,8
1281,0,0,1,1,0,69,76315,4
1282,1,0,0,0,1,67,77163,8
1283,0,1,0,1,1,59,84514,0
1284,1,1,0,0,0,60,94882,7
1285,0,0,1,0,1,34,42832,3
1286,0,1,0,1,1,35,68045,2
1287,1,0,1,0,0,53,32511,9
1288,1,1,0,1,0,31,59996,5
1289,1,0,1,1,0,27,28968,7
1290,1,1,1,0,1,35,51754,4
1291,0,0,0,0,1,23,53075,4
1292,1,0,0,1,1,63,56099,6
1293,1,0,0,0,1,25,33490,0
1294,0,1,0,1,0,48,29740,9
1295,0,1,1,0,1,44,23301,2
1296,1,1,0,0,1,37,69112,8
1297,1,0,0,1,1,55,32317,3
1298,1,0,0,1,0,52,29151,7
1299,0,0,1,0,0,60,34482,8
1300,1,0,1,1,0,54,25500,1
1301,1,0,1,1,1,46,71797,3
1302,1,0,1,0,0,31,46630,9
1303,0,0,1,1,0,19,54139,2
1304,1,1,1,1,1,48,43191,8
1305,0,1,0,0,1,41,23631,2
1306,1,0,1,0,1,67,94660,1
1307,1,0,1,1,1,62,56940,5
1308,0,0,1,0,0,32,22106,1
1309,0,1,0,1,1,29,80292,1
1310,1,0,0,1,0,28,26119,2
1311,1,1,1,1,1,20,89712,5
1312,1,1,0,0,1,42,98027,9
1313,1,1,0,0,0,52,20640,0
1314,1,0,0,1,0,25,48584,7
1315,0,0,0,0,0,38,57467,7
1316,0,1,0,0,0,18,82677,9
1317,0,0,0,0,0,39,44418,2
1318,0,0,1,1,0,38,46041,2
1319,1,1,1,1,1,33,31322,8
1320,0,0,0,1,0,27,99198,8
1321,0,0,0,0,1,21,55919,4
1322,1,0,1,1,1,36,85826,1
1323,1,0,0,1,1,42,52507,2
1324,1,1,1,0,0,42,64079,1
1325,1,0,0,1,1,21,61633,2
1326,0,0,0,1,1,53,34785,5
1327,1,0,1,0,1,65,43280,9
1328,1,1,1,1,0,32,39564,2
1329,0,0,0,1,0,26,93463,1
1330,1,1,0,1,1,54,20997,3
1331,1,1,0,0,0,37,80632,4
1332,0,0,1,0,0,53,75287,0
1333,1,1,0,1,1,33,47461,3
1334,0,1,1,1,1,36,33673,4
1335,1,1,1,0,0,29,83628,8
1336,1,0,0,1,0,68,39337,5
1337,0,1,1,0,1,44,21725,0
1338,0,1,0,0,1,42,69532,3
1339,0,0,1,1,0,50,29072,1
1340,1,1,0,1,1,66,37390,3
1341,1,0,1,1,1,57,84898,4
1342,1,0,1,1,1,58,54850,0
1343,0,1,0,0,1,50,72934,5
1344,1,0,0,1,0,69,60742,5
